original,english,apple
Aankoop­geschiedenis,Purchase History,Purchase History
Actividad en juegos,Activity in games,Gameplay Content
Activité physique,Physical activity,Fitness
Adresse e‑mail,E-mail address,Email Address
Adresse physique,Physical address,Physical Address
Advertising Data,Advertising Data,Advertising Data
Altre informazioni di contatto dell’utente,Other user contact information,Other User Contact Info
Altre informazioni finanziarie,More financial information,Other Financial Info
Altri contenuti dell’utente,Other user contents,Other User Content
Altri dati di diagnosi,Other diagnosis data,Other Diagnostic Data
Altri dati sull’utilizzo,Other use data,Other Usage Data
Altri tipi di dati,Other types of data,Other Data Types
Annonserings­data,Advertising data,Advertising Data
Användar‑ID,User ID,User ID
Apparaat-ID,Device ID,Device ID
Assistance client,Assistance client,Customer Support
Assistenza clienti,Customer service,Customer Support
Atención al cliente,Customer Support,Customer Support
Audio Data,Audio Data,Audio Data
Audio-Daten,Audio data,Audio Data
Audiogegevens,Audio data,Audio Data
Autre contenu utilisateur,Other user content,Other User Content
Autres coordonnées de l’utilisateur,Other user contact details,Other User Contact Info
Autres données d’utilisation,Other use data,Other Usage Data
Autres données de diagnostic,Other diagnostic data,Other Diagnostic Data
Autres informations financières,Other financial information,Other Financial Info
Autres types de données,Other types of data,Other Data Types
Benutzer-ID,User ID,User ID
Betaalgegevens,Payment information,Payment Info
Betalnings­information,payment ­information,Payment Info
Bilder eller videor,Pictures or videos,Photos or Videos
Bläddrings­historik,Browsing history,Browsing History
Bonitäts­informationen,Credit information,Credit Info
Browsegeschiedenis,Browsing history,Browsing History
Browser-Verlauf,Browser history,Browsing History
Browsing History,Browsing History,Browsing History
Coarse Location,Coarse Location,Coarse Location
Condición física,Physical condition,Fitness
Condicionamento físico,Fitness,Fitness
Contacten,Contacts,Contacts
Contactos,Contacts,Contacts
Contacts,Contacts,Contacts
Contatos,Contacts,Contacts
Contatti,Contacts,Contacts
Contenido de Gameplay,GamePlay content,Gameplay Content
Contenu des expériences de jeu,Content of game experiences,Gameplay Content
Contenuti gameplay,Gameplay content,Gameplay Content
Conteúdo de jogabilidade,Gameplay content,Gameplay Content
Conteúdos de jogos,GAME CONTENTS,Gameplay Content
Correos electrónicos o mensajes de texto,Emails or text messages,Emails or Text Messages
Crash Data,Crash Data,Crash Data
Crash-Daten,Crash-data,Crash Data
Crash-gegevens,Crash data,Crash Data
Credit Info,Credit Info,Credit Info
Cronologia degli acquisti,Purchasing chronology,Purchase History
Cronologia delle ricerche,Research chronology,Search History
Cronologia di navigazione,Navigation chronology,Browsing History
Customer Support,Customer Support,Customer Support
Dados de áudio,Audio data,Audio Data
Dados de desempenho,Performance data,Performance Data
Dados de falhas,Failure data,Crash Data
Dados de pagamento,Payment data,Payment Info
Dados de publicidade,Advertising data,Advertising Data
Dati audio,To give an audio,Audio Data
Dati sui crash,Crash data,Crash Data
Dati sulla pubblicità,Advertising data,Advertising Data
Dati sulle prestazioni,Performance data,Performance Data
Datos de audio,Audio data,Audio Data
Datos de errores,Error data,Crash Data
Datos de fallas,Failure data,Crash Data
Datos de publicidad,Advertising data,Advertising Data
Datos de rendimiento,Performance data,Performance Data
Datos publicitarios,Advertising data,Advertising Data
Datos sensibles,Sensitive data,Sensitive Info
Device ID,Device ID,Device ID
Dirección de correo electrónico,Email address
Dirección física,Physical address
Données audio,Audio data
Données de performance,Performance data
Données publicitaires,Advertising data
Données sur les pannes,Breakdowns,Crash Data
E-Mail-Adresse,Email address,Email Address
E-mailadres,Email address,Email Address
E-Mails oder Textnachrichten,Emails or text messages,Emails or Text Messages
E-mails of sms-berichten,E-mails or text messages,Emails or Text Messages
E-mails ou mensagens de texto,Emails or text messages,Emails or Text Messages
E‑mails ou mensagens de texto,E -mails or text messages,Emails or Text Messages
E‑mails ou SMS,E -mails or SMS,Emails or Text Messages
E‑post eller textmeddelande,E -mail or text message,Emails or Text Messages
E‑postadress,E -mail address,Email Address
Einkaufsverlauf,Shopping,Purchase History
Email Address,Email Address,Email Address
Email o messaggi,Email or messages,Emails or Text Messages
Emails or Text Messages,Emails or Text Messages,Emails or Text Messages
Emplacement approximatif,Approximate location,Coarse Location
Emplacement précis,Precise location,Precise Location
Endereço de e-mail,Email address,Email Address
Endereço de e‑mail,Email address,Email Address
Endereço físico,Physical address,Physical Address
Enhets-ID,Unit ID,Device ID
Exacte locatie,Exact location,Precise Location
Exakt plats,Exact location,Precise Location
Fitness,Fitness,Fitness
Forma física,Physical form,Fitness
Foto o video,Photo the video,Photos or Videos
Foto's of video's,Photos of videos,Photos or Videos
Fotografias ou vídeos,Photographs or Videos,Photos or Videos
Fotos o videos,Pictures The Videos,Photos or Videos
Fotos oder Videos,Photos or videos,Photos or Videos
Fotos ou vídeos,Photos or Videos,Photos or Videos
Fysiek adres,Physical address,Physical Address
Fysisk adress,Physical address,Physical Address
Gameplay Content,Gameplay Content,Gameplay Content
Gameplay-content,Gameplay-content,Gameplay Content
Gebruikers-ID,User ID,User ID
Genauer Standort,Precise location,Precise Location
Geräte-ID,Device ID,Device ID
Gesundheit,Health,Health
Gezondheid,Health,Health
Hälsa,Health,Health
Health,Health,Health
Historial de búsqueda,Search history,Search History
Historial de compras,Shopping history,Purchase History
Historial de navegación,Navigation history,Browsing History
Histórico de buscas,Search history,Search History
Histórico de compras,Purchases historic,Purchase History
Histórico de navegação,Browsing history,Browsing History
Histórico de pesquisa,Research history,Search History
Historique d’achats,Purchasing history,Purchase History
Historique de navigation,Navigation history,Browsing History
Historique de recherche,Research history,Search History
ID de usuario,ID DE Ususuario,User ID
ID del dispositivo,device ID,Device ID
ID del usuario,id del Usuuary,User ID
ID dispositivo,Device id,Device ID
ID do dispositivo,ID DO device,Device ID
ID do utilizador,User ID,User ID
ID utente,User ID,User ID
ID пользователя,User ID,User ID
ID устройства,ID devices,Device ID
Identifiant de l’appareil,Device identifier,Device ID
Identifiant de l’utilisateur,User identifier,User ID
Indirizzo email,Email address,Email Address
Indirizzo fisico,Physical address,Physical Address
Información confidencial,Confidential information,Sensitive Info
Información de crédito,Credit information,Credit Info
Información de facturación,Billing information,Payment Info
Información de pago,Payment information,Payment Info
Información sobre crédito,Credit information,Credit Info
Informações confidenciais,Confidential Information,Sensitive Info
Informações de crédito,Credit information,Credit Info
Informações de pagamento,Payment Information,Payment Info
Informations de paiement,Payment information,Payment Info
Informations sensibles,Sensitive information,Sensitive Info
Informations sur le crédit,Credit information,Credit Info
Informazioni di pagamento,Payment information,Payment Info
Informazioni sensibili,Sensitive information,Sensitive Info
Informazioni sul credito,Credit information,Credit Info
Interacción con el producto,Interaction with the product,Product Interaction
Interações com o produto,Interactions with the product,Product Interaction
Interaction avec le produit,Interaction with the product,Product Interaction
Interazione con il prodotto,Interaction with the product,Product Interaction
Känslig information,Sensitive information,Sensitive Info
Klantenservice,Customer service,Customer Support
Kontakte,Contact,Contacts
Kontakter,Contacts,Contacts
Köphistorik,Purchase History,Purchase History
Kraschdata,Crash data,Crash Data
Kredietgegevens,Credit data,Credit Info
Kreditinformation,Credit information,Credit Info
Kundendienst,Customer service,Customer Support
Kundtjänst,Customer service,Customer Support
Leistungsdaten,Performance data,Performance Data
Ljuddata,Audio Data,Audio Data
Localização aproximada,Approximate location,Coarse Location
Localização exata,Exact location,Precise Location
Localização precisa,Precise location,Precise Location
Motion,Motion,Fitness
Naam,Name,Name
Name,Name,Name
Namn,Name,Name
Nom,Name,Name
Nombre,Name,Name
Nome,Name,Name
Número de telefone,Phone number,Phone Number
Número de teléfono,Phone number,Phone Number
Numéro de téléphone,Phone number,Phone Number
Numero di telefono,Telephone number,Phone Number
Other Data Types,Other Data Types,Other Data Types
Other Diagnostic Data,Other Diagnostic Data,Other Diagnostic Data
Other Financial Info,Other Financial Info,Other Financial Info
Other Usage Data,Other Usage Data,Other Usage Data
Other User Contact Info,Other User Contact Info,Other User Contact Info
Other User Content,Other User Content,Other User Content
Otra información de contacto del usuario,Other user contact information,Other User Contact Info
Otra información financiera,Other financial information,Other Financial Info
Otro contenido de usuario,Other user content,Other User Content
Otro contenido del usuario,Other user content,Other User Content
Otros datos de contacto del usuario,Other user contact data,Other User Contact Info
Otros datos de diagnóstico,Other diagnostic data,Other Diagnostic Data
Otros datos de uso,Other use data,Other Usage Data
Otros tipos de datos,Other types of data,Other Data Types
Outras informações de contacto do utilizador,Other user contact information,Other User Contact Info
Outras informações de contato do usuário,Other user contact information,Other User Contact Info
Outras informações financeiras,Other financial information,Other Financial Info
Outro conteúdo do utilizador,Another content of the user,Other User Content
Outros conteúdos do usuário,Other User Contents,Other User Content
Outros dados de diagnóstico,Other diagnostic data,Other Diagnostic Data
Outros dados de uso,Other use data,Other Usage Data
Outros dados de utilização,Other use data,Other Usage Data
Outros tipos de dados,Other types of data,Other Data Types
Overige contact­gegevens van gebruiker,Other contact details of user,Other User Contact Info
Overige diagnostische gegevens,Other diagnostic data,Other Diagnostic Data
Overige financiële gegevens,Other financial data,Other Financial Info
Overige gebruikers­content,Other user content,Other User Content
Overige gebruiks­gegevens,Other user data,Other Usage Data
Overige typen gegevens,Other types of data,Other Data Types
Övrig ekonomisk information,Other financial information,Other Financial Info
Övrig kontakt­infor­mation för an­vän­daren,Other contact information for the user,Other User Contact Info
Övriga användningsdata,Other usage data,Other Usage Data
Övriga datatyper,Other data types,Other Data Types
Övriga diagnostikdata,Other diagnostics data,Other Diagnostic Data
